Date,BTC,BCH,ETH,ETC,LTC,XRP,EOS,DOGE
8/1/2017,2718.26,380.01,226.77,14.57,43.04,0.18,1.78,0.001792
8/2/2017,2710.67,452.66,219.95,14.77,42.13,0.17,1.78,0.001788
8/3/2017,2804.73,364.05,225.34,15.37,42.86,0.17,1.8,0.001795
8/4/2017,2895.89,233.05,223.07,15.04,43.45,0.17,1.81,0.00182
8/5/2017,3252.91,213.15,256.51,15.93,46.86,0.18,1.91,0.002087
8/6/2017,3213.94,220.66,261.57,15.35,45.1,0.18,1.74,0.001909
8/7/2017,3378.94,319.69,269.18,15.31,45.8,0.18,1.81,0.001949
8/8/2017,3419.94,345.49,296.77,15.88,48.63,0.19,1.88,0.001961
8/9/2017,3342.47,303.89,296.03,15.38,48.01,0.18,1.83,0.001937
8/10/2017,3381.28,275.95,295.89,15.19,46.5,0.18,1.83,0.001896
8/11/2017,3650.62,328.24,308.86,15.17,47.1,0.18,1.79,0.00188
8/12/2017,3884.71,317.09,310.6,14.81,46.43,0.17,1.67,0.001856
8/13/2017,4073.26,298.05,298.06,14.3,45.81,0.17,1.62,0.001807
8/14/2017,4325.13,297.68,300.1,14.08,45.8,0.17,1.66,0.001762
8/15/2017,4181.93,297.86,289.82,13.69,43.31,0.16,1.65,0.001738
8/16/2017,4376.63,300.21,302.27,14.19,44.15,0.16,1.6,0.001774
8/17/2017,4331.69,460.53,301.46,13.93,43.91,0.16,1.55,0.00171
8/18/2017,4160.62,690.24,295.59,13.81,47.28,0.16,1.42,0.001678
8/19/2017,4193.7,754.56,297.47,13.7,45.48,0.16,1.4,0.001678
8/20/2017,4087.66,712.87,301.43,13.89,46.23,0.16,1.37,0.001707
8/21/2017,4001.74,599.64,321.59,14.56,47.94,0.19,1.34,0.001712
8/22/2017,4100.52,690.88,314.79,14.39,46.73,0.24,1.28,0.001716
8/23/2017,4151.52,669.4,317.52,15.29,53.25,0.25,1.41,0.001732
8/24/2017,4334.68,628.11,325.61,15.14,50.19,0.22,1.38,0.001816
8/25/2017,4371.6,641.05,331.92,15.28,51.18,0.22,1.38,0.00179
8/26/2017,4352.4,625.32,333.88,15.29,51.75,0.21,1.36,0.001778
8/27/2017,4382.88,620.9,347.89,16.02,61.16,0.2,1.35,0.001759
8/28/2017,4382.66,596.18,347.75,15.79,62.36,0.22,1.34,0.001825
8/29/2017,4579.02,552.93,370.67,15.79,63.17,0.22,1.31,0.001867
8/30/2017,4565.3,575.21,378.48,15.66,64.17,0.23,1.23,0.002105
8/31/2017,4703.39,588.17,383.04,16.38,71.06,0.26,1.3,0.002064
9/1/2017,4892.01,622.17,387.74,21.94,86.04,0.25,1.3,0.002543
9/2/2017,4578.77,575.9,348.98,20.08,79.02,0.23,1.23,0.002226
9/3/2017,4582.96,607.43,347.48,18.57,76.84,0.23,1.25,0.002153
9/4/2017,4236.31,517.24,295.17,15.84,65.21,0.2,0.85,0.001786
9/5/2017,4376.53,541.71,312.99,16.58,71.29,0.22,0.88,0.001908
9/6/2017,4597.12,638.18,334.34,19.02,80.11,0.23,0.91,0.002019
9/7/2017,4599.88,652.85,329.43,17.81,78.48,0.22,0.98,0.001927
9/8/2017,4228.75,583.1,296.5,15.2,67.79,0.21,0.83,0.001596
9/9/2017,4226.06,547.47,294.4,14.89,66.01,0.21,0.79,0.001568
9/10/2017,4122.94,537.07,288.75,13.66,61.61,0.21,0.74,0.001395
9/11/2017,4161.27,537.81,294.53,14.61,66.04,0.21,0.73,0.001463
9/12/2017,4130.81,510.41,291.46,14.44,64.23,0.21,0.84,0.00144
9/13/2017,3882.59,503.61,277.11,14.11,61.73,0.2,0.73,0.001398
9/14/2017,3154.95,367.04,213.91,9.13,41.58,0.16,0.6,0.0008539
9/15/2017,3637.52,424.02,250.46,10.24,48.21,0.18,0.66,0.0008654
9/16/2017,3625.04,440.22,246.52,9.93,48.26,0.18,0.63,0.0008668
9/17/2017,3582.88,419.86,251.75,10.02,48.49,0.18,0.65,0.0008528
9/18/2017,4065.2,479.32,293.5,11.79,55.53,0.19,0.7,0.0009474
9/19/2017,3924.97,527.88,282.8,11.48,52.84,0.18,0.65,0.0008904
9/20/2017,3905.95,476.05,283.74,11.25,51.73,0.18,0.61,0.0008624
9/21/2017,3631.04,416.26,258.58,10.07,46.61,0.17,0.55,0.0007552
9/22/2017,3630.7,415.09,264.31,10.26,48.09,0.17,0.57,0.000772
9/23/2017,3792.4,428.5,286.17,10.61,49.27,0.18,0.58,0.0009539
9/24/2017,3682.84,421.03,282.48,10.44,47.62,0.18,0.55,0.0008915
9/25/2017,3926.07,445.8,292.33,10.86,51.58,0.18,0.57,0.001141
9/26/2017,3892.35,441.83,287.44,11.24,51.55,0.19,0.56,0.001151
9/27/2017,4200.67,457.31,306.47,12.65,56.28,0.2,0.63,0.001173
9/28/2017,4174.73,447.81,299.15,12.73,54.09,0.2,0.82,0.00108
9/29/2017,4163.07,436.77,291.47,12.52,52.62,0.19,0.72,0.001082
9/30/2017,4338.71,432.63,301.46,12.98,55.14,0.2,0.72,0.001145
10/1/2017,4403.74,415.15,302.34,12.74,54.54,0.21,0.71,0.001084
